,Name,Wins,Losses,Draws,Height,Weight,Reach,Stance,Age,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
2010,Mara Romero Borella,12,9,0,167.6,125,69,1,40,2.54,37,2.48,71,1.83,44,66,0.2
2011,Cortavious Romious,9,4,0,162.6,135,68,2,32,1.91,38,3.46,39,2.29,66,64,0.8
2012,Juancamilo Ronderos,4,2,0,160.0,125,64,2,31,2.18,30,2.18,63,2.72,33,0,0.0
2013,Rongzhu,28,6,0,175.3,155,70,1,26,6.05,51,5.38,53,1.34,62,84,0.1
2014,Jesse Ronson,21,12,0,177.8,155,70,2,40,3.54,47,3.39,57,0.46,28,57,0.5
2015,George Roop,15,13,1,185.4,135,72,1,44,3.43,34,2.47,60,1.05,57,59,0.1
2016,Aaron Rosa,18,6,0,193.0,205,77,1,43,4.03,47,4.41,45,0.36,33,85,0.4
2017,Charles Rosa,14,8,0,175.3,145,69,3,40,3.08,36,3.86,47,1.67,35,38,1.0
2018,Karol Rosa,19,8,0,165.1,135,67,1,31,5.47,55,4.28,49,1.08,48,72,0.1
2019,Jacob Rosales,13,7,0,180.3,155,74,1,31,7.19,46,10.66,44,1.12,18,50,0.6
2020,Jessie Rosas,8,1,0,170.2,135,68,2,23,0.00,0,0.00,0,0.00,0,0,0.0
2021,Raul Rosas Jr.,12,1,0,175.3,135,67,3,21,1.34,42,1.24,52,6.10,54,25,0.9
2022,Hilarie Rose,4,2,0,160.0,115,63,1,33,2.33,33,6.13,44,0.00,0,100,0.0
2023,Jared Rosholt,14,4,0,188.0,265,75,1,40,2.08,46,1.52,59,1.83,41,66,0.1
2024,Shannon Ross,13,9,0,167.6,125,66,3,37,5.96,39,7.39,55,0.00,0,100,0.0
2025,Ben Rothwell,39,14,0,193.0,265,78,1,44,3.71,42,4.63,47,0.68,34,70,0.4
2026,Khalil Rountree Jr.,15,7,0,185.4,205,76,2,36,3.88,40,4.33,49,0.00,0,58,0.1
2027,Ronda Rousey,12,2,0,170.2,135,66,1,39,4.17,52,4.14,44,6.26,68,50,4.8
2028,Phil Rowe,11,7,0,190.5,170,80,1,36,3.51,49,4.15,50,0.46,36,53,0.2
2029,Cam Rowston,15,3,0,190.5,185,78,1,31,4.60,48,2.12,52,1.34,44,33,0.3
2030,Brandon Royval,18,9,0,175.3,125,68,2,34,5.60,42,4.24,42,0.89,64,45,1.2
2031,Jairzinho Rozenstruik,15,6,0,188.0,242,78,1,38,3.48,48,2.63,52,0.00,0,72,0.0
2032,Mauricio Rua,27,14,1,185.4,205,76,1,44,3.57,50,2.79,54,2.01,48,49,0.7
2033,Robert Ruchala,11,3,0,172.7,145,72,3,28,3.37,34,5.20,45,1.00,22,71,0.0
2034,Mauricio Ruffy,14,2,0,180.3,155,75,1,30,4.19,57,3.83,59,0.00,0,86,0.0
2035,Montserrat Conejo Ruiz,10,5,0,152.4,115,61,2,33,2.21,29,6.19,44,1.75,50,44,0.6
2036,Mike Russow,15,3,0,185.4,255,73,1,49,1.55,47,2.90,59,4.66,43,0,0.7
2037,Mashrabjon Ruzibaev,20,4,1,172.7,155,67,1,30,0.00,0,0.00,0,0.00,0,0,0.0
2038,Nursulton Ruziboev,37,9,2,195.6,185,76,1,32,2.38,46,2.68,49,1.36,80,33,0.3
2039,Damian Rzepecki,10,1,0,177.8,155,71,1,24,1.07,25,4.93,43,1.00,14,66,0.0
2040,Cameron Saaiman,9,3,0,172.7,135,67,2,25,5.30,46,4.14,51,0.89,28,47,0.7
2041,Danny Sabatello,9,1,0,177.8,135,71,1,33,2.07,57,0.20,25,3.00,75,100,1.0
2042,Pat Sabatini,22,5,0,172.7,145,70,1,35,1.69,54,1.16,54,4.27,41,50,1.3
2043,Amir Sadollah,6,5,0,177.8,170,75,1,46,4.71,46,3.55,60,0.57,27,60,0.3
2044,Nazim Sadykhov,11,3,1,177.8,155,69,2,32,4.69,48,5.42,49,1.08,45,72,0.2
2045,Frankie Saenz,13,7,0,167.6,135,66,1,46,3.94,47,3.50,52,1.74,31,61,0.1
2046,Terrance Saeteurn,8,2,0,167.6,125,67,1,31,3.82,40,3.82,52,0.00,0,0,0.0
2047,Saparbeg Safarov,9,3,0,185.4,185,78,1,39,4.03,48,2.96,47,2.52,41,33,0.0
2048,Tarec Saffiedine,16,7,0,177.8,170,70,3,39,4.05,47,3.06,62,0.52,36,84,0.1
2049,Jason Saggo,12,4,0,180.3,155,71,1,40,2.50,39,2.94,52,2.33,40,23,0.0
2050,Kiru Sahota,12,3,0,177.8,125,73,1,31,4.05,52,2.64,41,0.92,33,50,0.5
2051,Muhammad Saidov,10,0,0,188.0,205,73,1,30,6.11,45,3.46,63,0.00,0,0,0.0
2052,Tatsuya Saika,11,5,0,182.9,155,73,1,35,6.67,44,9.91,43,0.00,0,66,0.0
2053,Mridul Saikia,9,2,0,170.2,125,68,1,29,1.36,33,6.43,26,0.00,0,0,0.0
2054,Kaushik Saikumar,5,1,0,177.8,135,71,1,28,0.81,28,5.35,41,0.00,0,33,1.2
2055,Benoit Saint Denis,17,4,0,180.3,155,73,2,30,5.58,58,4.09,41,4.15,35,72,1.7
2056,Ovince Saint Preux,27,18,0,190.5,205,80,2,43,3.03,47,3.33,47,1.09,36,67,0.5
2057,Lukasz Sajewski,13,3,0,172.7,155,71,1,35,2.06,35,3.88,57,1.01,25,66,0.0
2058,Augusto Sakai,16,5,1,190.5,265,77,1,35,4.60,49,3.83,48,0.23,40,56,0.0
2059,Alessio Sakara,19,11,0,182.9,185,72,1,44,3.96,47,2.80,59,2.18,78,62,0.0
2060,Gokhan Saki,1,2,0,182.9,205,73,1,42,7.09,58,4.57,53,0.00,0,100,0.0
2061,Justin Salas,12,7,0,172.7,155,70,2,44,3.42,43,2.96,68,2.43,20,0,0.0
2062,Luis Saldana,16,7,1,180.3,145,73,1,35,5.16,50,3.65,60,0.64,17,44,0.2
2063,Muslim Salikhov,22,6,0,180.3,170,70,1,42,3.37,49,2.96,62,1.07,32,72,0.0
2064,Quillan Salkilld,13,1,0,182.9,155,75,1,26,4.73,56,2.79,46,6.86,36,81,1.0
2065,Boston Salmon,6,3,0,175.3,135,69,2,35,4.13,37,7.75,59,0.00,0,100,0.0
2066,John Salter,14,3,0,185.4,185,74,2,41,1.68,32,1.68,68,2.85,46,66,0.5
2067,Vinicius Salvador,14,7,0,170.2,135,70,2,30,5.48,43,6.50,48,0.36,11,86,0.0
2068,Dylan Salvador,5,2,0,175.3,155,69,2,33,4.34,37,11.57,46,0.00,0,0,0.0
2069,Josh Samman,13,4,0,190.5,185,79,1,38,2.08,52,2.47,34,1.09,33,33,0.4
2070,Josh Sampo,11,5,0,162.6,125,64,1,42,1.99,36,2.96,55,1.06,33,40,2.1
2071,Samuel Sanches,11,1,0,177.8,155,74,1,23,5.95,75,0.00,100,0.00,0,100,0.0
2072,Diego Sanchez,31,13,0,177.8,170,72,2,44,2.69,37,3.02,56,1.51,24,46,0.8
2073,Eddie Sanchez,15,8,0,188.0,230,74,1,43,3.45,43,3.30,43,1.13,26,42,0.0
2074,Joby Sanchez,11,4,0,167.6,135,68,1,35,3.22,36,2.82,63,0.95,71,51,0.4
2075,Emmanuel Sanchez,15,3,0,175.3,145,71,3,36,4.45,35,4.17,55,0.25,6,16,0.5
2076,Andrew Sanchez,13,7,0,185.4,185,74,1,38,4.30,43,5.10,50,2.55,36,100,0.0
2077,Robert Sanchez,8,2,0,167.6,125,66,1,40,0.96,40,1.78,46,3.61,62,50,0.7
2078,Silvestre Sanchez,9,1,0,177.8,155,73,1,24,0.00,0,0.00,0,0.00,0,0,0.0
2079,Luke Sanders,13,5,0,167.6,135,67,2,40,6.61,52,4.37,50,0.71,30,72,0.2
2080,Jerrod Sanders,16,3,0,172.7,135,72,1,46,0.88,64,1.14,46,2.20,33,50,1.6
2081,Cory Sandhagen,18,7,0,180.3,135,70,3,34,4.92,45,3.72,55,1.14,33,57,0.2
2082,Hector Sandoval,14,4,0,157.5,125,64,1,40,3.31,52,2.33,65,3.49,25,71,1.4
2083,Martin Sano,4,3,1,180.3,170,75,1,35,4.00,33,12.00,40,0.00,0,0,0.0
2084,Duda Santana,3,1,0,170.2,145,73,1,30,6.01,39,2.72,73,6.44,60,0,0.0
2085,Shaheen Santana,6,1,0,185.4,155,75,1,35,0.82,42,1.65,40,0.00,0,0,2.8
2086,Neemias Santana,7,3,1,188.0,185,76,1,30,1.67,34,2.00,52,0.00,0,0,0.0
2087,Jorge Santiago,25,12,0,185.4,170,75,1,45,1.69,35,2.62,56,0.58,30,52,0.8
2088,Mike Santiago,19,12,0,177.8,145,69,1,37,3.44,49,3.58,36,2.66,50,53,1.1
2089,Richie Santiago,7,2,0,170.2,135,67,2,33,3.87,49,4.87,42,0.00,0,25,0.0
2090,Hector Santiago,7,1,0,165.1,135,68,1,33,5.10,27,5.44,45,0.00,0,100,0.0
2091,Evangelista Santos,21,18,0,177.8,170,76,1,48,3.94,36,6.01,49,0.78,100,50,0.4
2092,Iliarde Santos,30,13,1,165.1,125,67,1,45,3.00,30,6.10,57,1.66,23,83,0.0
2093,Leonardo Santos,18,7,1,182.9,155,75,1,46,2.82,46,3.40,54,0.88,25,86,0.2
2094,Thiago Santos,22,11,0,188.0,205,76,1,42,3.72,48,2.57,53,0.88,33,65,0.1
2095,Yana Santos,17,8,0,167.6,135,68,1,36,4.41,57,3.12,52,0.78,47,51,0.1
